objectid,CNN,ST_NAME,ST_TYPE,DISTRICT,COLLECTN,PRKG_SPLY,YEAR,shape,data_as_of,data_loaded_at
5285,1950000,43RD,AVE,01,FIELD,26,2010,"LINESTRING (-122.504020634 37.779208483, -122.503880621 37.777287311)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
10797,608000,15TH,AVE,01,FIELD,23,2010,"LINESTRING (-122.474064677 37.78181668, -122.47398247 37.780575382)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
5318,2306000,ANZA,ST,01,FIELD,11,2010,"LINESTRING (-122.448791249 37.780881663, -122.449302527 37.780817067)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
5306,12741000,TURK,BLVD,01,FIELD,13,2013,"LINESTRING (-122.447039806 37.778622308, -122.447997722 37.778501034)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
12691,908000,19TH,AVE,01,FIELD,35,2012,"LINESTRING (-122.477900148 37.77472999, -122.477766947 37.772863654)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
10612,1929000,42ND,AVE,01,FIELD,39,2011,"LINESTRING (-122.502806622 37.777336148, -122.502670971 37.775470568)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
12890,7543000,JOHN F KENNEDY,DR,01,REMOTE,30,2010,"LINESTRING (-122.493823451 37.770282846, -122.49414424 37.770042664, -122.494840734 37.769611363, -122.495128117 37.769476807, -122.49544446 37.769382121, -122.496160675 37.769291825)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
13532,1994000,45TH,AVE,01,FIELD,40,2010,"LINESTRING (-122.506164797 37.779110954, -122.506022045 37.777189907)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
13510,2872000,BEAUMONT,AVE,01,REMOTE,17,2010,"LINESTRING (-122.455280751 37.781458661, -122.455017308 37.780174974, -122.454818229 37.780116945)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
13333,6100201,GEARY,BLVD,01,FIELD,18,2010,"LINESTRING (-122.504020634 37.779208483, -122.504098369 37.779259964, -122.505013425 37.779218347, -122.505089572 37.779159865)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
13043,5942000,FULTON,ST,01,FIELD,15,2012,"LINESTRING (-122.494903299 37.772080795, -122.495972016 37.772032015)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
12953,2329000,ANZA,ST,01,REMOTE,15,2010,"LINESTRING (-122.470567616 37.778800611, -122.471638566 37.778752208)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
12952,1971000,44TH,AVE,01,REMOTE,11,2010,"LINESTRING (-122.505135077 37.779799869, -122.505089572 37.779159865)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
13790,5939000,FULTON,ST,01,FIELD,22,2012,"LINESTRING (-122.491688047 37.772227493, -122.492761386 37.772178531)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
14291,8031000,LAKE,ST,02,FIELD,21,2012,"LINESTRING (-122.481929204 37.785884439, -122.483004748 37.785834605)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
14290,8029000,LAKE,ST,02,FIELD,15,2010,"LINESTRING (-122.479785678 37.785982618, -122.4808601 37.785933963)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
14288,7530101,JOHN F KENNEDY,DR,01,FIELD,0,2013,"LINESTRING (-122.453979523 37.771428395, -122.45405361 37.771336189, -122.454886492 37.771009427, -122.455289746 37.770929661)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1137,554000,14TH,AVE,01,FIELD,41,2010,"LINESTRING (-122.473119808 37.784421469, -122.472984477 37.782553986)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1129,8010000,LAKE,ST,02,FIELD,16,2012,"LINESTRING (-122.460404199 37.786865758, -122.461470836 37.786816065)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1119,8019000,LAKE,ST,02,FIELD,14,2010,"LINESTRING (-122.470043747 37.786437147, -122.471114604 37.786387244)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
4771,11730000,SEAL ROCK,DR,01,REMOTE,22,2010,"LINESTRING (-122.506300473 37.780995516, -122.506509143 37.780856542, -122.506751739 37.780773323, -122.507891879 37.780720539)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1134,10772000,PRESIDIO,TER,02,FIELD,104,2010,"LINESTRING (-122.460315452 37.788256704, -122.460435248 37.788514525, -122.460551199 37.788681323, -122.460757731 37.788791058, -122.4610197 37.788789787, -122.461228961 37.788708117, -122.461392194 37.788529519, -122.461445464 37.788262308, -122.461393105 37.787962244, -122.461333628 37.787836087, -122.461108263 37.787685031, -122.46084112 37.787660644, -122.460562406 37.787729856, -122.460415176 37.787922129, -122.460315452 37.788256704)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1052,2038000,47TH,AVE,01,FIELD,15,2011,"LINESTRING (-122.508160552 37.777092597, -122.508091741 37.776149122)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1069,674000,16TH,AVE,01,FIELD,34,2012,"LINESTRING (-122.474956162 37.778602202, -122.474821293 37.776741572)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1186,2688000,BALBOA,ST,01,FIELD,17,2010,"LINESTRING (-122.503744648 37.775421471, -122.504816356 37.775372452)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
